id,episode_number,nisioleto_name,episode_title,description,latitude,longitude,instagram_url
1,1,CALLE DEL FORNO,Che caldo 🥵,"In realtà calle del forno indicava non tanto la temperatura, ma, come altre calli di Venezia, che cosa si produceva o che lavoro si svolgeva. In questo caso, in questa calle c'era il forno per fare il pane.",45.432262,12.352368,https://www.instagram.com/reels/CW8mMoLjiXd/
2,2,CAMPO SAN PIERO,Giudizio finale 🔑,"Il campo di San Pietro deve il suo nome alla basilica su cui il campo si affaccia. Costruita intorno alla metà del IX sec. dove prima sorgeva una chiesa dedicata ai santi Sergio e Bacco (ci sono ancora in San Pietro di Castello le reliquie), fu dedicata a San Pietro. Anche l'isola di cui fa parte, anticamente chiamata Olivolo (probabilmente per la presenza di olivi), è chiamata isola di San Pietro di Castello.",45.433995,12.359797,https://www.instagram.com/p/CW8m-XtD8La/
3,3,RAMO DE LA TANA,Nascondino 🫣,"Non siamo sul luogo dove è nato il nascondino! La tana era la zona dell'arsenale dove, con la canapa, si allestivano le gomene, corde per le imbarcazioni sia da commercio che da combattimento. Deve il nome alla città di Tana (alla foce del fiume Don, sul mar d'Azov), dove Venezia possedeva importanti empori di canapa.",45.433305,12.351058,https://www.instagram.com/p/CW8nvn5jloJ/
4,4,CALLE DE LE OLE,Allo stadio 🏟,"Le olle sono le pentole. Probabilmente qui anticamente, come tanti nomi di calli, si fabbricavano pentole.",45.433463,12.357315,https://www.instagram.com/p/CW-JApgDlXB/
5,5,CAMPO RUGA,Lifting 😳,"Calle ruga deve il suo nome al francese Rue, strada fiancheggiata da abitazioni e botteghe. Chiamata così in veneziano perchè, quando tanti secoli fa Venezia non era tutta abitata, sorsero qui appunto case e botteghe.",45.433749,12.357200,https://www.instagram.com/p/CW-1obqjH5N/
6,6,CAMPO S.MARIA FORMOSA,Devozione 💒,"La chiesa di Santa Maria Formosa, in realtà della Purificazione di Maria, deve il suo nome attuale a colui che ebbe la visione di Maria nel luogo dove ora sorge la chiesa: ha riportato infatti di aver avuto la visione di una donna particolarmente abbondante di forme, che in veneziano si dice “formosa”.",45.437755,12.340861,https://www.instagram.com/p/CW_YltCjaR4/
7,7,RAMO DE LE GATTE,Micio Micio 🐱,"Il nome del ramo de le gate (come il campo, la calle e la salizada) deriva dai delegati pontifici, che, fino a quando la Repubblica di Venezia non offrì a Pio IV l'attuale Palazzo della Nunziatura (o dei Nunzi Apostolici) già Gritti, venivano ospitati nel vicino palazzo del gran priorato dell'Ordine di Malta.",45.436300,12.347443,https://www.instagram.com/p/CXCLjQVj9HO/
8,8,CALLE SCALETA,Si Sale 🧗‍♂️,"La calle della scaletta deve il suo nome ai negozi che qui vendevano dei biscotti, tipici per la loro decorazione a scanalature che ricordavano una scala a pioli.",45.438426,12.338513,https://www.instagram.com/p/CXHTeotjw7m/
9,9,RAMO DE LE MOSCHETTE, Zanzare 🦟,"Le moschete erano nei finti, con cui le dame veneziane del 700 impreziosivano il loro volto. Erano molto di moda e considerate oggetto di seduzione. In questa calle, come in altre di Venezia, c'erano i negozi che le fabbricavano e le vendevano.",45.438509,12.344782,https://www.instagram.com/p/CXMeVB5D80w/
10,10,FONDAMENTE DEL REMEDIO,Medicina 💊,"Due le possibili origini del nome della calle del remedio. Una vuole che ci fossero negozi che vendevano Malvasia, vino considerato curatore di alcuni malanni. L'altra, invece, sostiene che in questa calle ci fossero due famiglie, che avevano bottega, con questo cognome.",45.436125,12.340949,https://www.instagram.com/p/CXUQBUCDQSX/
