id,name,description,image,link
calle,Calle,"Le calli costituiscono la viabilità veneziana.",calle.png,https://www.instagram.com/p/CaZdrd9r1tF/?img_index=1
callesella,Callesella,"È una calle più angusta e ristretta delle altre.",callesella.png,https://www.instagram.com/p/CicCcn9LDSn/?img_index=1
calle larga, Calle larga,"E' detta così per essere più ampia e spaziosa di molte altre strettissime. La denominazione ""larga"" fa sempre riferimento alle calli vicine; quindi è una calle più larga rispetto a quelle che si trovano nei dintorni.",calle_larga.png,https://www.instagram.com/p/CjAIKvqKxWa/?img_index=1
fondamenta,Fondamenta,"È una calle che costeggia un canale o un rio.",fondamenta.png,https://www.instagram.com/p/Caz7oAqLtW7/?img_index=1
riva,Riva,"Nome dato ad alcune fondamenta che danno sul Canal Grande o sulla laguna",riva.png,https://www.instagram.com/p/Cjk0zzoqPzv/?img_index=1
ramo,Ramo,"Calle, spesso di modeste dimensioni, che serviva da diramazione a calli maggiori o che conduceva ad un rio.",ramo.png,https://www.instagram.com/p/CbLDg2BArl0/?img_index=1
ruga,Ruga,"Probabilmente derivato dal francese rue, si indicava una strada fiancheggiata da abitazioni e botteghe. Nome nato in un periodo di scarsa urbanizzazione, quando c'erano ancora poche strade.",ruga.png,https://www.instagram.com/p/CcTS-6EL0R9/?img_index=1
crosera,Crosera,"Luogo dove mettono capo, e s'attraversano le strade.",crosera.png,https://www.instagram.com/p/CnPg9taLJ4R/?img_index=1
sotoportego,Sotoportego,"Tratto di strada che passa sotto qualche edificio. In passato, era anche detto 'sottovolto'.",sotoportego.png,https://www.instagram.com/p/Ch4VGLAryGO/?img_index=1
ponte,Ponte,"Caratteristica della viabilità veneziana, per attraversare a piedi i canali e rii.",ponte.png,https://www.instagram.com/p/Cbf8cwvLfbs/?img_index=1
campo,Campo,"Spazio più o meno ampio attorniato da edifici. Si chiamano così perchè in origine erano veri e propri prati per ricavare pascolo o coltivati a orto. ",campo.png,https://www.instagram.com/p/CbzecQSA1jL/?img_index=1
campiello,Campiello,"Campo ma di piccole dimensioni.",tmp.png,https://www.instagram.com/p/CdJVvPnq0XK/?img_index=1
corte,Corte,"Campiello circondato da case e solitamente con un solo accesso. Spesso era uno spazio privato, chiuso da cancelli e centro di una microscopica vita sociale.",tmp.png,https://www.instagram.com/p/CdgSV6mqE9u/?img_index=1
salizada,Salizada,"Termine che indica le prime calli lastricate da masegni (blocchi di pietra di trachite). Il termine deriva dal fatto che lastricare la strada di questa pietre era detto salizare Inizialmente le strade e i campi erano in terra battuta, quindi vennero con il tempo ricoperte di mattoni in cotto. ",tmp.png,https://www.instagram.com/p/Ccw9mYEKMme/?img_index=1
lista,Lista,"Zona con presenza di 'liste', righe bianche in pietra d'Istria, che delimitavano le residenze degli ambasciatori stranieri. Il termine deriva da far el liston', cioè una striscia di pietre bianche entro cui gli ambasciatori godevano particolari immunità. Durante l'occupazione austriaca alcune liste servivano ad indicare ai soldati, che non conoscevano l'italiano, la strada più breve per raggiungere la stazione.",tmp.png,https://www.instagram.com/p/Cd5sqT2qtev/?img_index=1
rio,Rio,"I rii costituiscono la viabilità acquea di Venezia. Questo termine indica esclusivamente i canali, naturali o artificiali, costeggiati da edifici o strade che separano le singole isole di cui è composto il centro storico. Nella toponomastica cittadina alcuni dei rii di dimensione minore vengono denominati con il termine di rielo. ",tmp.png,https://www.instagram.com/p/CeLGmCkKEJs/?img_index=1
rio terà,Rio terà,"Strada ottenuta con l'interramento di un rio o un canale. L'operazione di interramento facilitava il transito pedonale.",tmp.png,https://www.instagram.com/p/Cg1Vm6nL8i9/?img_index=1
barbaria,Barbaria,"Questo nome non identifica una particolare tipologia di strada, ma ne dice la sua discussa origine. È l'unica strada di Venezia chiamata così. Alcuni vogliono che il luogo si dicesse Barbaria, quasi luogo selvaggio, da una antica boscaglia. Altri, da alcune botteghe da barbiere. Altri, dal traffico che qui facevano di tavole alcuni montanari, considerata gente rozza e barbara. Altri dall'esser destinate le tavole qui accumulate pei paesi della Barbaria. Quest'ultima è la più verosimile.",tmp.png,https://www.instagram.com/p/Ce04F4wqnce/?img_index=1
spadaria,Spadaria,"Strada destinata ai fabbricanti di spade.",tmp.png,https://www.instagram.com/p/CkbHH4eKFAs/?img_index=1
spechieri,Spechieri,"Zona in cui sorgevano botteghe che costruivano specchi e li molavano. La mola è stata inventata da un artigiano veneziano, Antonio Bertolini.",tmp.png,https://www.instagram.com/p/CfBs23frPvq/?img_index=1
marzaria,Marzaria,"Strada fiancheggiata da molte botteghe di merci. L'arte dei Marzieri (merciai) è molto antica; abbiamo testimonianze del 942 che parlano di questo mestiere. All'inizio i prodotti venduti riguardavano il mondo tessile; con il tempo, vennero venduti vari tipi di merce. Collegando il centro politico e quello economico, per la Serenissima era una strada molto importante, anche come rappresentativa della Repubblica.",tmp.png,https://www.instagram.com/p/CgY0vr0K_PH/?img_index=1
pescaria,Pescaria,"Luogo destinato alla compravendita del pesce. Mentre i pescatori erano a migliaia, i cosidetti 'compravendi pesce' erano, al finire della repubblica, 158 soltanto. Tala mestiere si riservava ai soli pescatori di San Nicolò e di Poveglia, dopo che avessero pescato per 20 anni, e che avessere compiuto 50 anni. In questo modo si voleva dare una ricompensa a quegli uomini benemeriti che avevano travagliato nella pesca.",tmp.png,https://www.instagram.com/p/CljV7hrr-Xu/?img_index=1
bareteri,Bareteri,"Zona in cui c'erano molte botteghe che fabbricavano e vendevano berrette.",tmp.png,https://www.instagram.com/p/Cf1TWSjqn5l/?img_index=1
borgoloco,Borgoloco,"Da ""Borgo a loco"", zona in cui si trovavano numerosi alberghetti, dove poter mangiare e dormire. Si trovano nei pressi di campo Santa Marina e a San Lorenzo.",tmp.png,https://www.instagram.com/p/CeeD7Roq2D5/?img_index=1
nomboli,Nomboli,"Luogo che ricorda la presenza di un macellaio. Il nombolo era il quarto posteriore del manzo, che venive esposto nel negozio dal macellaio.",tmp.png,https://www.instagram.com/p/CeUG60yL5LL/?img_index=1
becarie,Becarie,"Luoghi preposto allo smercio delle carni. Becher era il macellaio addetto alla preparazione delle carni e alla loro vendita al minuto. La provvigione delle carni commestibili non fu mai trascurata dai Veneziani, riscontrandosi fino dagli antichi tempi l'istituzione d'un uffizio di tre nobili, detti ""Sopra le Beccarie e pubblici Macelli"", il cui capitolare registra le deliberazioni emanate sopra questa materia cominciando dal 1249.",tmp.png,https://www.instagram.com/p/CynjDIMLF_r/?img_index=1
